"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify budget creation through API endpoint","14","Integration test - Create budget","Backend API","2026-06-29","passed","2026-06-29","TestCreateBudget","Budget","",""
"Verify that budget creation fails with zero limit","7","Budget creation with zero limit","Backend API","2026-06-29","failed","2026-06-29","TestCreateBudget","Budget","",""
"Verify that budget retrieval fails without authentication","3","Get budgets without authentication","Backend API","2026-06-29","passed","2026-06-29","TestGetBudgets","Budget","",""
"Verify that expense update fails with non-existent ID","4","Update expense with invalid ID","Backend API","2026-06-29","failed","2026-06-29","TestUpdateExpense","Expense","",""
"Verify that registration fails when username is missing","5","Registration with missing username","Backend API","2026-06-29","passed","2026-06-29","TestUserRegistration","Authentication","",""
"Verify that login fails with incorrect password","276","Login with invalid password","Backend API","2026-06-29","passed","2026-06-29","TestUserLogin","Authentication","",""
"Verify dashboard summary through API endpoint","10","Integration test - Dashboard summary","Backend API","2026-06-29","passed","2026-06-29","TestDashboardSummary","Dashboard","",""
"Verify that health endpoint returns healthy status in JSON","3","Health check returns healthy status","Backend API","2026-06-29","passed","2026-06-29","TestHealthEndpoint","Health","",""
"Verify that an expense can be updated with valid data","13","Update expense successfully","Backend API","2026-06-29","failed","2026-06-29","TestUpdateExpense","Expense","",""
"Verify that new user gets empty recent transactions list","8","Recent transactions returns empty list for new user","Backend API","2026-06-29","passed","2026-06-29","TestRecentTransactions","Dashboard","",""
"Verify that budget creation fails with negative limit","7","Budget creation with negative limit","Backend API","2026-06-29","failed","2026-06-29","TestCreateBudget","Budget","",""
"Verify that login fails when username is missing","5","Login with missing username","Backend API","2026-06-29","passed","2026-06-29","TestUserLogin","Authentication","",""
"Verify that budget creation fails with empty category","10","Budget creation with empty category","Backend API","2026-06-29","failed","2026-06-29","TestCreateBudget","Budget","",""
"Verify that health endpoint is accessible without authentication","3","Health check does not require authentication","Backend API","2026-06-29","passed","2026-06-29","TestHealthEndpoint","Health","",""
"Verify that budget update fails without authentication","3","Update budget without authentication","Backend API","2026-06-29","failed","2026-06-29","TestUpdateBudget","Budget","",""
"Verify that registration fails when password is missing","5","Registration with missing password","Backend API","2026-06-29","passed","2026-06-29","TestUserRegistration","Authentication","",""
"Verify that registration fails with password shorter than 8 characters","5","Registration with invalid password - too short","Backend API","2026-06-29","failed","2026-06-29","TestUserRegistration","Authentication","",""
"Verify that budget update fails with non-existent ID","4","Update budget with invalid ID","Backend API","2026-06-29","failed","2026-06-29","TestUpdateBudget","Budget","",""
"Verify that income retrieval fails without authentication","3","Get income without authentication","Backend API","2026-06-29","passed","2026-06-29","TestGetIncome","Income","",""
"Verify that recent transactions includes both income and expenses","29","Recent transactions with income and expense","Backend API","2026-06-29","passed","2026-06-29","TestRecentTransactions","Dashboard","",""
"Verify that an income can be deleted","19","Delete income successfully","Backend API","2026-06-29","passed","2026-06-29","TestDeleteIncome","Income","",""
"Verify that registration fails with empty password","5","Registration with empty password","Backend API","2026-06-29","failed","2026-06-29","TestUserRegistration","Authentication","",""
"Verify that duplicate username registration fails appropriately","279","Registration with duplicate username","Backend API","2026-06-29","passed","2026-06-29","TestUserRegistration","Authentication","",""
"Verify that a budget can be deleted","7","Delete budget successfully","Backend API","2026-06-29","broken","2026-06-29","TestDeleteBudget","Budget","",""
"Verify that expense deletion fails without authentication","3","Delete expense without authentication","Backend API","2026-06-29","passed","2026-06-29","TestDeleteExpense","Expense","",""
"Verify that login fails with empty username and password","4","Login with empty credentials","Backend API","2026-06-29","passed","2026-06-29","TestUserLogin","Authentication","",""
"Verify that user profile contains all required fields","7","User profile contains required fields","Backend API","2026-06-29","passed","2026-06-29","TestUserProfileValidation","Users","",""
"Verify that budget deletion fails without authentication","4","Delete budget without authentication","Backend API","2026-06-29","passed","2026-06-29","TestDeleteBudget","Budget","",""
"Verify that returned username matches authenticated user","7","Get current user returns correct username","Backend API","2026-06-29","passed","2026-06-29","TestGetCurrentUser","Users","",""
"Verify user login through API endpoint","547","Integration test - User login","Backend API","2026-06-29","passed","2026-06-29","TestUserLogin","Authentication","",""
"Verify that income creation fails with zero amount","11","Income creation with zero amount","Backend API","2026-06-29","failed","2026-06-29","TestCreateIncome","Income","",""
"Verify that dashboard summary returns numeric financial values","7","Dashboard summary returns numeric values","Backend API","2026-06-29","passed","2026-06-29","TestDashboardSummary","Dashboard","",""
"Verify that registration fails with password lacking special characters","5","Registration with invalid password - no special character","Backend API","2026-06-29","failed","2026-06-29","TestUserRegistration","Authentication","",""
"Verify expense creation through API endpoint","10","Integration test - Create expense","Backend API","2026-06-29","passed","2026-06-29","TestCreateExpense","Expense","",""
"Verify that income creation fails without authentication","3","Income creation without authentication","Backend API","2026-06-29","passed","2026-06-29","TestCreateIncome","Income","",""
"Verify that expense deletion fails with non-existent ID","7","Delete expense with invalid ID","Backend API","2026-06-29","passed","2026-06-29","TestDeleteExpense","Expense","",""
"Verify that budget deletion fails with non-existent ID","7","Delete budget with invalid ID","Backend API","2026-06-29","passed","2026-06-29","TestDeleteBudget","Budget","",""
"Verify that username field is not empty","7","User profile username is not empty","Backend API","2026-06-29","passed","2026-06-29","TestUserProfileValidation","Users","",""
"Verify that expense creation fails when description is missing","6","Expense creation with missing description","Backend API","2026-06-29","passed","2026-06-29","TestCreateExpense","Expense","",""
"Verify that a new user can be registered with valid credentials","275","Successful user registration","Backend API","2026-06-29","passed","2026-06-29","TestUserRegistration","Authentication","",""
"Verify that income update fails with non-existent ID","3","Update income with invalid ID","Backend API","2026-06-29","failed","2026-06-29","TestUpdateIncome","Income","",""
"Verify that an income can be created with valid data","10","Successful income creation","Backend API","2026-06-29","passed","2026-06-29","TestCreateIncome","Income","",""
"Verify that income update fails without authentication","3","Update income without authentication","Backend API","2026-06-29","failed","2026-06-29","TestUpdateIncome","Income","",""
"Verify income retrieval through API endpoint","9","Integration test - Get income","Backend API","2026-06-29","passed","2026-06-29","TestGetIncome","Income","",""
"Verify that login fails with non-existent username","7","Login with invalid username","Backend API","2026-06-29","failed","2026-06-29","TestUserLogin","Authentication","",""
"Verify user registration through API endpoint","329","Integration test - User registration","Backend API","2026-06-29","passed","2026-06-29","TestUserRegistration","Authentication","",""
"Verify that budget creation fails when limit is missing","6","Budget creation with missing limit","Backend API","2026-06-29","passed","2026-06-29","TestCreateBudget","Budget","",""
"Verify expense retrieval through API endpoint","8","Integration test - Get expenses","Backend API","2026-06-29","passed","2026-06-29","TestGetExpenses","Expense","",""
"Verify that health endpoint returns HTTP 200 status","51","Health check returns 200 status","Backend API","2026-06-29","passed","2026-06-29","TestHealthEndpoint","Health","",""
"Verify that health endpoint returns valid JSON content type","4","Health check response is JSON","Backend API","2026-06-29","passed","2026-06-29","TestHealthEndpoint","Health","",""
"Verify recent transactions through API endpoint","11","Integration test - Recent transactions","Backend API","2026-06-29","passed","2026-06-29","TestRecentTransactions","Dashboard","",""
"Verify that a budget can be updated with valid data","8","Update budget successfully","Backend API","2026-06-29","broken","2026-06-29","TestUpdateBudget","Budget","",""
"Verify that expense creation fails with negative amount","10","Expense creation with negative amount","Backend API","2026-06-29","failed","2026-06-29","TestCreateExpense","Expense","",""
"Verify that all expense records can be retrieved for authenticated user","16","Get all expenses successfully","Backend API","2026-06-29","passed","2026-06-29","TestGetExpenses","Expense","",""
"Verify that expense creation fails with invalid date format","7","Expense creation with invalid date format","Backend API","2026-06-29","passed","2026-06-29","TestCreateExpense","Expense","",""
"Verify that an expense can be created with valid data","9","Successful expense creation","Backend API","2026-06-29","passed","2026-06-29","TestCreateExpense","Expense","",""
"Verify that income creation fails when source is missing","6","Income creation with missing source","Backend API","2026-06-29","passed","2026-06-29","TestCreateIncome","Income","",""
"Verify that a budget can be created with valid data","8","Successful budget creation","Backend API","2026-06-29","failed","2026-06-29","TestCreateBudget","Budget","",""
"Verify that registration fails with empty username","4","Registration with empty username","Backend API","2026-06-29","failed","2026-06-29","TestUserRegistration","Authentication","",""
"Verify that expense creation fails with zero amount","10","Expense creation with zero amount","Backend API","2026-06-29","failed","2026-06-29","TestCreateExpense","Expense","",""
"Verify current user retrieval through API endpoint","6","Integration test - Get current user","Backend API","2026-06-29","passed","2026-06-29","TestGetCurrentUser","Users","",""
"Verify that all income records can be retrieved for authenticated user","16","Get all income successfully","Backend API","2026-06-29","passed","2026-06-29","TestGetIncome","Income","",""
"Verify that an income can be updated with valid data","13","Update income successfully","Backend API","2026-06-29","failed","2026-06-29","TestUpdateIncome","Income","",""
"Verify that expense update fails without authentication","3","Update expense without authentication","Backend API","2026-06-29","failed","2026-06-29","TestUpdateExpense","Expense","",""
"Verify that budget creation fails when category is missing","6","Budget creation with missing category","Backend API","2026-06-29","passed","2026-06-29","TestCreateBudget","Budget","",""
"Verify that health endpoint returns correct JSON structure","3","Health check response structure","Backend API","2026-06-29","passed","2026-06-29","TestHealthEndpoint","Health","",""
"Verify that income deletion fails without authentication","3","Delete income without authentication","Backend API","2026-06-29","passed","2026-06-29","TestDeleteIncome","Income","",""
"Verify that authenticated user can retrieve their profile","6","Get current user successfully","Backend API","2026-06-29","passed","2026-06-29","TestGetCurrentUser","Users","",""
"Verify that income deletion fails with non-existent ID","7","Delete income with invalid ID","Backend API","2026-06-29","passed","2026-06-29","TestDeleteIncome","Income","",""
"Verify that all budgets can be retrieved for authenticated user","15","Get all budgets successfully","Backend API","2026-06-29","passed","2026-06-29","TestGetBudgets","Budget","",""
"Verify that expense creation fails when amount is missing","6","Expense creation with missing amount","Backend API","2026-06-29","passed","2026-06-29","TestCreateExpense","Expense","",""
"Verify that budget creation fails without authentication","3","Budget creation without authentication","Backend API","2026-06-29","passed","2026-06-29","TestCreateBudget","Budget","",""
"Verify that user profile retrieval fails without authentication","3","Get current user without authentication","Backend API","2026-06-29","passed","2026-06-29","TestGetCurrentUser","Users","",""
"Verify budget retrieval through API endpoint","12","Integration test - Get budgets","Backend API","2026-06-29","passed","2026-06-29","TestGetBudgets","Budget","",""
"Verify income creation through API endpoint","10","Integration test - Create income","Backend API","2026-06-29","passed","2026-06-29","TestCreateIncome","Income","",""
